max_log_abs_mdot_donor,max_rel_RL,max_rel_RL_time,result,CE_flag,M_1f(Msun),M_2f(Msun),m1_f,Porb_f(d),tmerge(Gyr),e_post,a_post,a_pre,log_L_1,log_T_1,He_core_1(Msun),C_core_1(Msun),O_core_1(Msun)log_L_2,log_T_2,He_core_2(Msun),C_core_2(Msun),max_log_mdot_donor,surface_h1,surface_he4,m1,m2,initial_period_in_days,O_core_1(Msun)
-2.4811085693609263,0.2732780595796855,9650179.049806114,wide_binary,0,7.796263464068487,25.343329434703122,1.4,117.70971356515903,4234785.748027647,0.23917229452247893,426.60347284292175,324.5717413918222,5.375462981406301,4.985294708770436,7.796263464068487,4.934736792195049,-,-,-,-,-,1.4103259400762836e-15,0.9863959395446207,20.0000,25.0000,25.1200,7.591358915063825
7.240964254350645e-10,5.850959867119577,9648770.71220744,CE_merger,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.0000,3.0000,44.6700,
-2.2591119582172023,0.08609751061314887,9651187.52920546,wide_binary,0,8.434854609522386,19.114511255484093,1.4,1455.9833447020962,6632970807.309251,0.34292089740338205,2484.146850148308,1632.2809830136657,5.411155417523731,4.772116740897424,8.308711776655777,5.021784156715212,-,-,-,-,-,0.20285707999718083,0.7835249634320379,20.0000,19.0000,446.6800,8.064837535622873
-2.8832342520362984,0.16339747978218547,9705689.826415624,error,0,9.234899728355039,25.707757958450305,1.4,35.87790101550647,-,-,-,149.62015837501374,-,-,6.3409097928899705,0.0,-,-,-,-,-,-,-,20.0000,25.0000,7.9400,0.0
-2.4615096699619863,0.21857599477577067,9651057.675602874,wide_binary,0,8.558411661200765,33.29484822478059,1.4,668.2386978224429,310607898.3259829,0.20632491644935047,1406.7217825518026,1116.48002829932,5.401694476889576,4.142283838181632,8.277674613131802,4.985522745267462,-,-,-,-,-,0.34471137631866616,0.6415549613224619,20.0000,33.0000,141.2500,8.070048223700544
-2.3709339417290116,0.09968542715610734,9396449.505645221,wide_binary,0,6.187506896143755,7.151243422913378,1.4,4.152779332686622,5426.774856217083,0.559860906697551,58.568097967510155,25.778109535868936,5.247479285154642,4.932902815314583,6.187506896143755,3.914795643989027,-,-,-,-,-,5.165935508277849e-38,0.9863982568420834,20.0000,7.0000,7.9400,5.925934994023667
-2.3836428112677397,0.010216817600307217,9651795.210328417,wide_binary,0,9.453018560465603,29.383189978124502,1.4,4581.181555973992,73617606904.4883,0.2616044200158702,5322.24630942106,3929.9231504633576,5.429861834637526,3.8162285574373507,8.651901604424005,5.135128937097546,-,-,-,-,-,0.38904401804509287,0.5971767969394112,20.0000,29.0000,1412.5400,8.467583744293776
-3.287050718857558,0.12861942721186573,12620305.313207207,error,0,5.405182029601766,19.845964846567394,1.4,11.542900422632883,-,-,-,63.041100033007076,-,-,3.782065278346827,0.0,-,-,-,-,-,-,-,20.0000,15.0000,1.4100,0.0
-2.4702606539045475,0.2194442696902804,9650941.46321221,wide_binary,0,8.70777278615895,31.303981086333934,1.4,624.9970788370923,293009658.2343408,0.22345208575272366,1354.5645667797673,1051.8842890460937,5.40704409913203,4.045503083678993,8.32952625446673,5.011784071006485,-,-,-,-,-,0.3565869293098863,0.6296422561577898,20.0000,31.0000,141.2500,8.136950104420695
-2.6670977780952203,0.21768747500978886,9651117.37769341,wide_binary,0,8.039490298227836,29.65769518384125,1.4,71.65921618781839,902541.0078010972,0.21377923438704685,309.54701111015055,243.372288068224,5.386931901212711,4.963215721168847,8.039490298227836,4.948712429641712,-,-,-,-,-,1.7974651235525193e-06,0.9863921583766614,20.0000,29.0000,14.1300,7.761001583737845
